ticker,name,sector,notes
PTT.BK,PTT Public Company Limited,Energy & Utilities,Starter pilot ticker.
AOT.BK,Airports of Thailand Public Company Limited,Transportation & Logistics,Starter pilot ticker.
CPALL.BK,CP ALL Public Company Limited,Commerce,Starter pilot ticker.
KBANK.BK,Kasikornbank Public Company Limited,Banking,Starter pilot ticker.
ADVANC.BK,Advanced Info Service Public Company Limited,Information & Communication Technology,Starter pilot ticker.
