Date,Title,Link,Source
2024-06-18 07:00:00,Building a Globally Diversified Portfolio: 5 Thai Blue-Chip Stocks To Look Out For - Syfe,https://news.google.com/rss/articles/CBMitAFBVV95cUxNNU1oUHFGbE12VDFLQXZvV25mSGE4MnUtcE5aNEMxSWstUXJna05OUk5NN3dzZE1mbFNVZnk5VkNjLXNRaV9VQ1RqT1VNc1dRVms4c0ZVTmp5U3ZLYXlBQk1pZFhFOWFCWnNXZG03aVI3b1AzTW5SQkdLb1FEYmFnXzhicmFsTkFwdzFZbm43dUtraHI1bDBHX2FwdHBEZmx0T1VPT0dIX2hMRHFvdDVYR3cxVks?oc=5,Syfe
2024-07-07 07:00:00,Social Security Fund looks to revamp investment portfolio - Nation Thailand,https://news.google.com/rss/articles/CBMidkFVX3lxTE1EWnp4YXhMc3dqRVlXOTg1cTFxMGVqenU4ZlhTenlxTHBQNVJjRlo1bV9PaWNPSW0zVTVrQXpYU1ZlUnBDOGFra1hTRk1xMER6YW0zVVVhdTd1Q2FZc19ka1laWnI5OVVSRjZXbWViNlJldTNtd0E?oc=5,Nation Thailand
2024-07-09 07:00:00,SET News : SET market report for June 2024 - SET,https://news.google.com/rss/articles/CBMiiAFBVV95cUxNc3FEc3k5bVJuMjczdzRqTVh5dGlYUEExNXBXMGdrUTJDR1pZM1pRbTU2M2RmU2Z1WFQ4Z3hveHB6TTUtOFY4Mk1KcjlzVXp4TkVuM2hKLXlabTlBWEsxTVJjTnNEVHdzWm9mVVJ4bzRyeGpCWjUtd2NWY3ZZcmdLWWxfTUpQN3BX?oc=5,SET
2024-08-07 07:00:00,SET News : (Correction) SET News: SET market report for July 2024 - SET,https://news.google.com/rss/articles/CBMiiAFBVV95cUxPWWpFVlRfdjQ0WkZYb2xpb0hQR3lzNkVOU0ZVZFJ0SFhlMXNFOUtFbjdzVVBySjNUY2JuSjZnU0dPSXEtRjR1Mk44a0x1Q2F1MENLaDRtT2JDczYwTnhkMG1KaHN1bWd6OS13NGQwcHVyWnMzUktKSU1ndUFxTzVNT1F2bW9zU09P?oc=5,SET
2025-02-05 08:00:00,"SET closed at 1,286.74 down 14.28 points (as of 05 Feb 2025) - Thailand Business News",https://news.google.com/rss/articles/CBMiqwFBVV95cUxNamczVll5WjlobENBTnF5cGVnSWpFY3Y3dEJDNjI1bzA4R3NnRWxfSF9meUlKblRZRWhCVDlKamdKQ21kSG1DTFFNOXk1eXdVR0xuWFNNazlqZnNFdDFMQjE3SFcxajlHeWY0RDBtUEdNNGpEeDJPVUtrb3pQSDBaQWVldDhZczZtbnZ2Q0VVRF9PZzVkaG8taFpjdlNWNERjdFVidlJZbHM3WFU?oc=5,Thailand Business News
2025-02-10 08:00:00,SET seeks to lessen large-cap tilt of indices - bangkokpost.com,https://news.google.com/rss/articles/CBMiowFBVV95cUxPRklzSkFTTEktTVVvSFJDVDJZQVBqN1Y3Nk1VUXZTd1JXZWo0a1pSUVdtQlo2Nk55S3RvVWsyeUVLRWc1bVNKWWxQbldpczZ3eUNlRHpXWUVnY1hXa09McG96a0l2b2N3dXU0Zzc5ZE4yVWZkUjdRWmFyRC1sbUtYdzVBdUZQak1lMVBQeUNLSEJfcjVZbUh4MlN4Ynk1RTUxWDc0?oc=5,bangkokpost.com
2025-03-03 08:00:00,"Why the SET Dropped Below 1,200: A Perfect Storm Shakes Thailand’s Stock Market - Thailand Business News",https://news.google.com/rss/articles/CBMixAFBVV95cUxPS2trWGhLVVVFMUZsYzVzVUVaWnRKeUM4bS0wbTNtcUhJakMxaldHYnhyM1hseWt1ekc1bF9vR1cxRFJ3NFgxcGQ1U1hDXy1PZEgzTVJKR20yWk05enFJVjFoOF9STHZyaGNHd1FRQWU5QXFDb1hZVDRTX2htbkoyUHhwQzdRSnIwMXBKY3JDQ3hXLXVycjBBMm1QR0d0aDFHNGt5aWRpRWxoQkpIZksyVG5uOHFlRHZSMW9JSnpDWXY2NVhk?oc=5,Thailand Business News
2025-03-12 07:00:00,"The SET Index stood at 1,176.17, showing a positive change of +5.97 - Thailand Business News",https://news.google.com/rss/articles/CBMinwFBVV95cUxNaHlfaTkxdlp3SXN4dEtOdnJ1TXVGNlgxaVdNUnl1bXhNT09lWFZJU0s3R1phZXk3TF9nWEduclE0WDNsc3ZFR1lqVk8wYzUtaTBGNjBoVEZxNWZuc0pwLWh1a2Fja3BqMXlzYXl3VXhkSDZJWUo1WGxVOTFQTjhQQ2lNbS1FaXVQVV9MM3ZMeHllazZBa1dzSElvc0dLVzg?oc=5,Thailand Business News
2025-03-12 07:00:00,SET News :SET market report for February 2025 - SET,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOZk0taUI1NmZkLUJOMjJFbXJ4ZVJzZVFWQjFXT2VoZkhfeGFmU0tNV3Z5X2tvRUZ5dWZCbE5pVGZnUFBlQTRSVl8xTWtUZG5IR2huUW85Y2xfVU8yYTFjUm1XeFBlLU1jV1ZvTmhCOUVqUnVGNlBJX0FzeWRGNU5vcEs4SHJZOEdYRzBZRXBrZWozZ2lEUW1aVWJzeUpqek9aTElCb0FyRHh4cDRyNmxNMzhHYjdUQzhjZ1dKTFZocjNPRE04cEFNV21FUmlhbm0tU1JNU2pHc1BPdzA?oc=5,SET
2025-05-06 07:00:00,"ASPS Recommends TCAP, BCP and KKP ahead of SET50 Rebalance - kaohoon international",https://news.google.com/rss/articles/CBMiYEFVX3lxTFA1LWJTTXRKZVVwMEdQZE5SY3RwLXloSENHazVmMkJpcEIxUXd0WGlGZWxYeGdaZDk2aFFWbVJYVHozUldfREFRdkU1bEowa21FQUFnODV6QjNIN210dzdJZA?oc=5,kaohoon international
2025-06-05 07:00:00,"BCP, TCAP, TIDLOR and KKP Set to Join SET50 for 2H25 Rebalance - kaohoon international",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9rT3c4aHp5NE9BNUMwR0hyN0I3MUpXdmRBSjVEVVFuelVqWUhhSERiNDh6Ql9ianM4UEVOTVZnSElPbFRLWi1UY0JfZThpVk01ZU1ZdmczdlZGWW9vVXRERQ?oc=5,kaohoon international
2025-06-17 07:00:00,"BCP, KKP, TCAP and TIDLOR to Trade in SET50 Index, Starting July 2025 - kaohoon international",https://news.google.com/rss/articles/CBMiYEFVX3lxTE52bldpX1ctYXJfVXN5NEljWXp5V3Y2Y0Nhd0J3MXJvSEl5ZHluTHZpMjV4UjhnU1MxYmxPT1JwR25DcTVtS2c4a3UyMXZmY1N1WEFiemVvdkU2SnFPcUJ1dQ?oc=5,kaohoon international
2025-06-19 07:00:00,SET News :Results of the semi-annual SET Index series review for second half of 2025 (Edited PDF File) - SET,https://news.google.com/rss/articles/CBMiwgJBVV95cUxOMHZSTHBDcUlTelZxYVQ2WkhnMlNvVnhJZzdoTVRnX3ZYOGlLYjhnQmM5cWRDaUoydzRjcE9Zdm1lOWZBZUU5ZW1IbGtLdktQMS1ZUmhMWXI3Umd0b0FhVXhLY3NTUVVIcV9ES0hZTnp5SGpma3p5N2hRU0podEZCVG1mTFJuOE4wQVlSVzJZbjBfREtMLXh4SUdETFVPQzJfdzJXQTQzXzlTc2RsUmlaMEZ6MEVXZXF3cnl4ZkMzNWZMeXFqZGE5QmVLX21hd0JGcl94Q0kxYU42TkRsRWNWd3REZWpVZm9ORWNkU1FTOUhyOU5rX2dHSTVMY210MmV6RVczNGpKT3MxTWJ5UzI0ZUU2MThDNUV1bDc3d3AzMEZzRXhaSlRZdW5oWnFXeDlkdmktUEgwUS1yWnlTRzRHcS1R?oc=5,SET
2025-06-22 07:00:00,"SGX launches six more depository receipts for Hong Kong, Thai names - Yahoo Finance Singapore",https://news.google.com/rss/articles/CBMiiAFBVV95cUxPck9vNmFVdlhYdzRfY21ncEg2WU9SRXpUQVRHMW5yYm5MLXVOQkhvU0toeFlVMTVaSUtXZGstVy15alZXRmFON1F1cTd1MGNvR2R6LTZSa0YzOG9WMFg3S0tCXzI5aUJsU01rS3hHOVdFYlUwSmgxdE1DczdMQ3ZEaWl6dFJJZ1cy?oc=5,Yahoo Finance Singapore
